Epoch 0, Client 6, Round 0, Train Loss: 2.1963000297546387
Epoch 0, Client 6, Round 0, Test accuracy: 0.20841859105524702
Epoch 0, Client 6, Round 0, Test loss: 6969.519626617432
Epoch 0, Client 6, Round 1, Train Loss: 2.238712787628174
Epoch 0, Client 6, Round 1, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 1, Test loss: 6900.454944610596
Epoch 0, Client 6, Round 2, Train Loss: 2.3039777278900146
Epoch 0, Client 6, Round 2, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 2, Test loss: 6853.325000762939
Epoch 0, Client 6, Round 3, Train Loss: 2.361264228820801
Epoch 0, Client 6, Round 3, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 3, Test loss: 6814.830116271973
Epoch 0, Client 6, Round 4, Train Loss: 2.4131507873535156
Epoch 0, Client 6, Round 4, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 4, Test loss: 6788.216106414795
Epoch 0, Client 6, Round 5, Train Loss: 2.4542853832244873
Epoch 0, Client 6, Round 5, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 5, Test loss: 6768.076599121094
Epoch 0, Client 6, Round 6, Train Loss: 2.4855852127075195
Epoch 0, Client 6, Round 6, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 6, Test loss: 6749.232360839844
Epoch 0, Client 6, Round 7, Train Loss: 2.504093885421753
Epoch 0, Client 6, Round 7, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 7, Test loss: 6732.087127685547
Epoch 0, Client 6, Round 8, Train Loss: 2.5166983604431152
Epoch 0, Client 6, Round 8, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 8, Test loss: 6716.863117218018
Epoch 0, Client 6, Round 9, Train Loss: 2.5203206539154053
Epoch 0, Client 6, Round 9, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 9, Test loss: 6700.091625213623
Epoch 0, Client 6, Round 10, Train Loss: 2.5254967212677
Epoch 0, Client 6, Round 10, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 10, Test loss: 6681.7922286987305
Epoch 0, Client 6, Round 11, Train Loss: 2.5201752185821533
Epoch 0, Client 6, Round 11, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 11, Test loss: 6659.756156921387
Epoch 0, Client 6, Round 12, Train Loss: 2.520979404449463
Epoch 0, Client 6, Round 12, Test accuracy: 0.19467991815258695
Epoch 0, Client 6, Round 12, Test loss: 6634.480987548828
Epoch 0, Client 6, Round 13, Train Loss: 2.511242389678955
Epoch 0, Client 6, Round 13, Test accuracy: 0.19614147909967847
Epoch 0, Client 6, Round 13, Test loss: 6609.979999542236
Epoch 0, Client 6, Round 14, Train Loss: 2.5056469440460205
Epoch 0, Client 6, Round 14, Test accuracy: 0.2034492838351359
Epoch 0, Client 6, Round 14, Test loss: 6578.223903656006
Epoch 0, Client 6, Round 15, Train Loss: 2.4959325790405273
Epoch 0, Client 6, Round 15, Test accuracy: 0.2282958199356913
Epoch 0, Client 6, Round 15, Test loss: 6547.909111022949
Epoch 0, Client 6, Round 16, Train Loss: 2.4869771003723145
Epoch 0, Client 6, Round 16, Test accuracy: 0.27038877521192634
Epoch 0, Client 6, Round 16, Test loss: 6510.254989624023
Epoch 0, Client 6, Round 17, Train Loss: 2.4741647243499756
Epoch 0, Client 6, Round 17, Test accuracy: 0.2958199356913183
Epoch 0, Client 6, Round 17, Test loss: 6472.381759643555
Epoch 0, Client 6, Round 18, Train Loss: 2.463175058364868
Epoch 0, Client 6, Round 18, Test accuracy: 0.30575855013154046
Epoch 0, Client 6, Round 18, Test loss: 6431.8164138793945
Epoch 0, Client 6, Round 19, Train Loss: 2.450523853302002
Epoch 0, Client 6, Round 19, Test accuracy: 0.32066647179187374
Epoch 0, Client 6, Round 19, Test loss: 6391.003578186035
Epoch 1, Client 6, Round 0, Train Loss: 2.4694745540618896
Epoch 1, Client 6, Round 0, Test accuracy: 0.3706518561824028
Epoch 1, Client 6, Round 0, Test loss: 5954.626575469971
Epoch 1, Client 6, Round 1, Train Loss: 2.5107414722442627
Epoch 1, Client 6, Round 1, Test accuracy: 0.3960830166617948
Epoch 1, Client 6, Round 1, Test loss: 5877.4220542907715
Epoch 1, Client 6, Round 2, Train Loss: 2.4989676475524902
Epoch 1, Client 6, Round 2, Test accuracy: 0.4206372405729319
Epoch 1, Client 6, Round 2, Test loss: 5817.910022735596
Epoch 1, Client 6, Round 3, Train Loss: 2.4729394912719727
Epoch 1, Client 6, Round 3, Test accuracy: 0.4329143525285004
Epoch 1, Client 6, Round 3, Test loss: 5756.890163421631
Epoch 1, Client 6, Round 4, Train Loss: 2.4519083499908447
Epoch 1, Client 6, Round 4, Test accuracy: 0.44752996199941536
Epoch 1, Client 6, Round 4, Test loss: 5702.712329864502
Epoch 1, Client 6, Round 5, Train Loss: 2.4279208183288574
Epoch 1, Client 6, Round 5, Test accuracy: 0.45688395206080096
Epoch 1, Client 6, Round 5, Test loss: 5651.731029510498
Epoch 1, Client 6, Round 6, Train Loss: 2.401764154434204
Epoch 1, Client 6, Round 6, Test accuracy: 0.4665302543116048
Epoch 1, Client 6, Round 6, Test loss: 5601.905044555664
Epoch 1, Client 6, Round 7, Train Loss: 2.3807456493377686
Epoch 1, Client 6, Round 7, Test accuracy: 0.47208418591055246
Epoch 1, Client 6, Round 7, Test loss: 5555.231632232666
Epoch 1, Client 6, Round 8, Train Loss: 2.354426622390747
Epoch 1, Client 6, Round 8, Test accuracy: 0.47500730780473543
Epoch 1, Client 6, Round 8, Test loss: 5510.210075378418
Epoch 1, Client 6, Round 9, Train Loss: 2.3354735374450684
Epoch 1, Client 6, Round 9, Test accuracy: 0.47880736626717335
Epoch 1, Client 6, Round 9, Test loss: 5470.337692260742
Epoch 1, Client 6, Round 10, Train Loss: 2.3133769035339355
Epoch 1, Client 6, Round 10, Test accuracy: 0.4805612394036831
Epoch 1, Client 6, Round 10, Test loss: 5433.7771072387695
Epoch 1, Client 6, Round 11, Train Loss: 2.294848918914795
Epoch 1, Client 6, Round 11, Test accuracy: 0.4826074247296112
Epoch 1, Client 6, Round 11, Test loss: 5398.534568786621
Epoch 1, Client 6, Round 12, Train Loss: 2.2787997722625732
Epoch 1, Client 6, Round 12, Test accuracy: 0.4826074247296112
Epoch 1, Client 6, Round 12, Test loss: 5364.74373626709
Epoch 1, Client 6, Round 13, Train Loss: 2.262214183807373
Epoch 1, Client 6, Round 13, Test accuracy: 0.4840689856767027
Epoch 1, Client 6, Round 13, Test loss: 5334.229579925537
Epoch 1, Client 6, Round 14, Train Loss: 2.2461910247802734
Epoch 1, Client 6, Round 14, Test accuracy: 0.4852382344343759
Epoch 1, Client 6, Round 14, Test loss: 5303.144443511963
Epoch 1, Client 6, Round 15, Train Loss: 2.2311389446258545
Epoch 1, Client 6, Round 15, Test accuracy: 0.4866997953814674
Epoch 1, Client 6, Round 15, Test loss: 5274.229263305664
Epoch 1, Client 6, Round 16, Train Loss: 2.2171056270599365
Epoch 1, Client 6, Round 16, Test accuracy: 0.4881613563285589
Epoch 1, Client 6, Round 16, Test loss: 5245.010101318359
Epoch 1, Client 6, Round 17, Train Loss: 2.2047457695007324
Epoch 1, Client 6, Round 17, Test accuracy: 0.4893306050862321
