Epoch 0, Client 9, Round 0, Train Loss: 2.4140589237213135
Epoch 0, Client 9, Round 0, Test accuracy: 0.07132417421806489
Epoch 0, Client 9, Round 0, Test loss: 7277.391586303711
Epoch 0, Client 9, Round 1, Train Loss: 2.6553092002868652
Epoch 0, Client 9, Round 1, Test accuracy: 0.07132417421806489
Epoch 0, Client 9, Round 1, Test loss: 7219.679214477539
Epoch 0, Client 9, Round 2, Train Loss: 2.7357892990112305
Epoch 0, Client 9, Round 2, Test accuracy: 0.07132417421806489
Epoch 0, Client 9, Round 2, Test loss: 7205.607318878174
Epoch 0, Client 9, Round 3, Train Loss: 2.7876193523406982
Epoch 0, Client 9, Round 3, Test accuracy: 0.07161648640748319
Epoch 0, Client 9, Round 3, Test loss: 7198.803691864014
Epoch 0, Client 9, Round 4, Train Loss: 2.8051717281341553
Epoch 0, Client 9, Round 4, Test accuracy: 0.07366267173341129
Epoch 0, Client 9, Round 4, Test loss: 7195.923908233643
Epoch 0, Client 9, Round 5, Train Loss: 2.829946279525757
Epoch 0, Client 9, Round 5, Test accuracy: 0.10815551008477053
Epoch 0, Client 9, Round 5, Test loss: 7182.822322845459
Epoch 0, Client 9, Round 6, Train Loss: 2.8440470695495605
Epoch 0, Client 9, Round 6, Test accuracy: 0.23940368313358668
Epoch 0, Client 9, Round 6, Test loss: 7166.331356048584
Epoch 0, Client 9, Round 7, Train Loss: 2.865586519241333
Epoch 0, Client 9, Round 7, Test accuracy: 0.29757380882782813
Epoch 0, Client 9, Round 7, Test loss: 7140.691898345947
Epoch 0, Client 9, Round 8, Train Loss: 2.8698782920837402
Epoch 0, Client 9, Round 8, Test accuracy: 0.35779011984799763
Epoch 0, Client 9, Round 8, Test loss: 7090.185108184814
Epoch 0, Client 9, Round 9, Train Loss: 2.875279426574707
Epoch 0, Client 9, Round 9, Test accuracy: 0.37854428529669687
Epoch 0, Client 9, Round 9, Test loss: 7033.9534034729
Epoch 0, Client 9, Round 10, Train Loss: 2.878300905227661
Epoch 0, Client 9, Round 10, Test accuracy: 0.38760596316866414
Epoch 0, Client 9, Round 10, Test loss: 6970.852298736572
Epoch 0, Client 9, Round 11, Train Loss: 2.8700687885284424
Epoch 0, Client 9, Round 11, Test accuracy: 0.3919906460099386
Epoch 0, Client 9, Round 11, Test loss: 6911.622264862061
Epoch 0, Client 9, Round 12, Train Loss: 2.8731253147125244
Epoch 0, Client 9, Round 12, Test accuracy: 0.3928675825781935
Epoch 0, Client 9, Round 12, Test loss: 6843.016021728516
Epoch 0, Client 9, Round 13, Train Loss: 2.85391902923584
Epoch 0, Client 9, Round 13, Test accuracy: 0.391406021631102
Epoch 0, Client 9, Round 13, Test loss: 6777.065349578857
Epoch 0, Client 9, Round 14, Train Loss: 2.8393259048461914
Epoch 0, Client 9, Round 14, Test accuracy: 0.3899444606840105
Epoch 0, Client 9, Round 14, Test loss: 6706.750556945801
Epoch 0, Client 9, Round 15, Train Loss: 2.823202133178711
Epoch 0, Client 9, Round 15, Test accuracy: 0.38965214849459223
Epoch 0, Client 9, Round 15, Test loss: 6641.324264526367
Epoch 0, Client 9, Round 16, Train Loss: 2.8025026321411133
Epoch 0, Client 9, Round 16, Test accuracy: 0.38877521192633735
Epoch 0, Client 9, Round 16, Test loss: 6572.641162872314
Epoch 0, Client 9, Round 17, Train Loss: 2.7817742824554443
Epoch 0, Client 9, Round 17, Test accuracy: 0.38819058754750074
Epoch 0, Client 9, Round 17, Test loss: 6514.804302215576
Epoch 0, Client 9, Round 18, Train Loss: 2.7619080543518066
Epoch 0, Client 9, Round 18, Test accuracy: 0.38760596316866414
Epoch 0, Client 9, Round 18, Test loss: 6452.344158172607
Epoch 0, Client 9, Round 19, Train Loss: 2.7405920028686523
Epoch 0, Client 9, Round 19, Test accuracy: 0.38702133878982753
Epoch 0, Client 9, Round 19, Test loss: 6393.578918457031
Epoch 1, Client 9, Round 0, Train Loss: 2.5672857761383057
Epoch 1, Client 9, Round 0, Test accuracy: 0.38292896813797134
Epoch 1, Client 9, Round 0, Test loss: 6324.575149536133
Epoch 1, Client 9, Round 1, Train Loss: 2.821376085281372
Epoch 1, Client 9, Round 1, Test accuracy: 0.3817597193802982
Epoch 1, Client 9, Round 1, Test loss: 6323.630706787109
Epoch 1, Client 9, Round 2, Train Loss: 2.875769853591919
Epoch 1, Client 9, Round 2, Test accuracy: 0.38205203156971645
Epoch 1, Client 9, Round 2, Test loss: 6291.841903686523
Epoch 1, Client 9, Round 3, Train Loss: 2.8639402389526367
Epoch 1, Client 9, Round 3, Test accuracy: 0.3838059047062263
Epoch 1, Client 9, Round 3, Test loss: 6238.546489715576
Epoch 1, Client 9, Round 4, Train Loss: 2.8485054969787598
Epoch 1, Client 9, Round 4, Test accuracy: 0.3843905290850628
Epoch 1, Client 9, Round 4, Test loss: 6185.801021575928
