Epoch 0, Client 15, Round 0, Train Loss: 2.7911863327026367
Epoch 0, Client 15, Round 0, Test accuracy: 0.16924875767319497
Epoch 0, Client 15, Round 0, Test loss: 7114.772857666016
Epoch 0, Client 15, Round 1, Train Loss: 3.02711820602417
Epoch 0, Client 15, Round 1, Test accuracy: 0.16924875767319497
Epoch 0, Client 15, Round 1, Test loss: 7118.621982574463
Epoch 0, Client 15, Round 2, Train Loss: 3.1297731399536133
Epoch 0, Client 15, Round 2, Test accuracy: 0.16924875767319497
Epoch 0, Client 15, Round 2, Test loss: 7135.381683349609
Epoch 0, Client 15, Round 3, Train Loss: 3.144498586654663
Epoch 0, Client 15, Round 3, Test accuracy: 0.16924875767319497
Epoch 0, Client 15, Round 3, Test loss: 7139.0847244262695
Epoch 0, Client 15, Round 4, Train Loss: 3.122408151626587
Epoch 0, Client 15, Round 4, Test accuracy: 0.17421806489330605
Epoch 0, Client 15, Round 4, Test loss: 7125.4344482421875
Epoch 0, Client 15, Round 5, Train Loss: 3.0901482105255127
Epoch 0, Client 15, Round 5, Test accuracy: 0.17100263080970476
Epoch 0, Client 15, Round 5, Test loss: 7101.901786804199
Epoch 0, Client 15, Round 6, Train Loss: 3.1117773056030273
Epoch 0, Client 15, Round 6, Test accuracy: 0.2999123063431745
Epoch 0, Client 15, Round 6, Test loss: 7088.855220794678
Epoch 0, Client 15, Round 7, Train Loss: 3.1025052070617676
Epoch 0, Client 15, Round 7, Test accuracy: 0.33791289096755334
Epoch 0, Client 15, Round 7, Test loss: 7053.044338226318
Epoch 0, Client 15, Round 8, Train Loss: 3.0869665145874023
Epoch 0, Client 15, Round 8, Test accuracy: 0.40572931891259867
Epoch 0, Client 15, Round 8, Test loss: 7030.09981918335
Epoch 0, Client 15, Round 9, Train Loss: 3.0981059074401855
Epoch 0, Client 15, Round 9, Test accuracy: 0.45162233265127155
Epoch 0, Client 15, Round 9, Test loss: 6999.0273513793945
Epoch 0, Client 15, Round 10, Train Loss: 3.101774215698242
Epoch 0, Client 15, Round 10, Test accuracy: 0.4621455714703303
Epoch 0, Client 15, Round 10, Test loss: 6973.340221405029
Epoch 0, Client 15, Round 11, Train Loss: 3.09360408782959
Epoch 0, Client 15, Round 11, Test accuracy: 0.45922244957614733
Epoch 0, Client 15, Round 11, Test loss: 6939.955764770508
Epoch 0, Client 15, Round 12, Train Loss: 3.087264060974121
Epoch 0, Client 15, Round 12, Test accuracy: 0.4519146448406899
Epoch 0, Client 15, Round 12, Test loss: 6925.167465209961
Epoch 0, Client 15, Round 13, Train Loss: 3.0834059715270996
Epoch 0, Client 15, Round 13, Test accuracy: 0.4437299035369775
Epoch 0, Client 15, Round 13, Test loss: 6907.709545135498
Epoch 0, Client 15, Round 14, Train Loss: 3.0601131916046143
Epoch 0, Client 15, Round 14, Test accuracy: 0.43934522069570303
Epoch 0, Client 15, Round 14, Test loss: 6889.035614013672
Epoch 0, Client 15, Round 15, Train Loss: 3.0467443466186523
Epoch 0, Client 15, Round 15, Test accuracy: 0.42589885998246124
Epoch 0, Client 15, Round 15, Test loss: 6893.617267608643
Epoch 0, Client 15, Round 16, Train Loss: 3.0148651599884033
Epoch 0, Client 15, Round 16, Test accuracy: 0.4232680502776966
Epoch 0, Client 15, Round 16, Test loss: 6894.002346038818
Epoch 0, Client 15, Round 17, Train Loss: 2.9822752475738525
Epoch 0, Client 15, Round 17, Test accuracy: 0.4191756796258404
Epoch 0, Client 15, Round 17, Test loss: 6891.192607879639
Epoch 0, Client 15, Round 18, Train Loss: 2.946605682373047
Epoch 0, Client 15, Round 18, Test accuracy: 0.42239111370944166
Epoch 0, Client 15, Round 18, Test loss: 6903.687725067139
Epoch 0, Client 15, Round 19, Train Loss: 2.925219774246216
Epoch 0, Client 15, Round 19, Test accuracy: 0.4203449283835136
Epoch 0, Client 15, Round 19, Test loss: 6919.070930480957
Epoch 1, Client 15, Round 0, Train Loss: 2.90244722366333
Epoch 1, Client 15, Round 0, Test accuracy: 0.45162233265127155
Epoch 1, Client 15, Round 0, Test loss: 6220.6813621521
Epoch 1, Client 15, Round 1, Train Loss: 3.1330087184906006
Epoch 1, Client 15, Round 1, Test accuracy: 0.45425314235603625
Epoch 1, Client 15, Round 1, Test loss: 6296.203422546387
Epoch 1, Client 15, Round 2, Train Loss: 3.122406244277954
Epoch 1, Client 15, Round 2, Test accuracy: 0.45162233265127155
Epoch 1, Client 15, Round 2, Test loss: 6300.979709625244
Epoch 1, Client 15, Round 3, Train Loss: 3.0912134647369385
Epoch 1, Client 15, Round 3, Test accuracy: 0.4498684595147618
Epoch 1, Client 15, Round 3, Test loss: 6302.9555740356445
Epoch 1, Client 15, Round 4, Train Loss: 3.003121852874756
Epoch 1, Client 15, Round 4, Test accuracy: 0.4463607132417422
Epoch 1, Client 15, Round 4, Test loss: 6289.792324066162
Epoch 1, Client 15, Round 5, Train Loss: 2.9239509105682373
Epoch 1, Client 15, Round 5, Test accuracy: 0.442268342589886
Epoch 1, Client 15, Round 5, Test loss: 6264.486850738525
Epoch 1, Client 15, Round 6, Train Loss: 2.8749310970306396
Epoch 1, Client 15, Round 6, Test accuracy: 0.43788365974861154
Epoch 1, Client 15, Round 6, Test loss: 6273.732738494873
Epoch 1, Client 15, Round 7, Train Loss: 2.8109021186828613
Epoch 1, Client 15, Round 7, Test accuracy: 0.43642209880152
Epoch 1, Client 15, Round 7, Test loss: 6270.737941741943
Epoch 1, Client 15, Round 8, Train Loss: 2.7844607830047607
Epoch 1, Client 15, Round 8, Test accuracy: 0.43320666471791874
Epoch 1, Client 15, Round 8, Test loss: 6292.760143280029
Epoch 1, Client 15, Round 9, Train Loss: 2.7551777362823486
Epoch 1, Client 15, Round 9, Test accuracy: 0.43057585501315404
Epoch 1, Client 15, Round 9, Test loss: 6301.17866897583
Epoch 1, Client 15, Round 10, Train Loss: 2.7311348915100098
Epoch 1, Client 15, Round 10, Test accuracy: 0.4288219818766443
Epoch 1, Client 15, Round 10, Test loss: 6331.444347381592
Epoch 1, Client 15, Round 11, Train Loss: 2.7161805629730225
Epoch 1, Client 15, Round 11, Test accuracy: 0.4294066062554808
Epoch 1, Client 15, Round 11, Test loss: 6357.207118988037
Epoch 1, Client 15, Round 12, Train Loss: 2.7101993560791016
Epoch 1, Client 15, Round 12, Test accuracy: 0.4261911721718796
Epoch 1, Client 15, Round 12, Test loss: 6380.4885330200195
Epoch 1, Client 15, Round 13, Train Loss: 2.699227809906006
Epoch 1, Client 15, Round 13, Test accuracy: 0.4273604209295528
Epoch 1, Client 15, Round 13, Test loss: 6408.755096435547
Epoch 1, Client 15, Round 14, Train Loss: 2.6819067001342773
Epoch 1, Client 15, Round 14, Test accuracy: 0.4247296112247881
Epoch 1, Client 15, Round 14, Test loss: 6425.040756225586
Epoch 1, Client 15, Round 15, Train Loss: 2.6661858558654785
Epoch 1, Client 15, Round 15, Test accuracy: 0.4247296112247881
Epoch 1, Client 15, Round 15, Test loss: 6452.955547332764
Epoch 1, Client 15, Round 16, Train Loss: 2.645977258682251
Epoch 1, Client 15, Round 16, Test accuracy: 0.4241449868459515
Epoch 1, Client 15, Round 16, Test loss: 6469.211334228516
Epoch 1, Client 15, Round 17, Train Loss: 2.6301653385162354
Epoch 1, Client 15, Round 17, Test accuracy: 0.42443729903536975
Epoch 1, Client 15, Round 17, Test loss: 6496.837787628174
Epoch 1, Client 15, Round 18, Train Loss: 2.614777088165283
Epoch 1, Client 15, Round 18, Test accuracy: 0.42589885998246124
Epoch 1, Client 15, Round 18, Test loss: 6510.276748657227
Epoch 1, Client 15, Round 19, Train Loss: 2.6067278385162354
Epoch 1, Client 15, Round 19, Test accuracy: 0.4232680502776966
Epoch 1, Client 15, Round 19, Test loss: 6537.098682403564
Epoch 2, Client 15, Round 0, Train Loss: 2.8273417949676514
Epoch 2, Client 15, Round 0, Test accuracy: 0.4381759719380298
Epoch 2, Client 15, Round 0, Test loss: 5347.670356750488
Epoch 2, Client 15, Round 1, Train Loss: 2.7505557537078857
Epoch 2, Client 15, Round 1, Test accuracy: 0.43788365974861154
Epoch 2, Client 15, Round 1, Test loss: 5532.035110473633
Epoch 2, Client 15, Round 2, Train Loss: 2.708054542541504
Epoch 2, Client 15, Round 2, Test accuracy: 0.4384682841274481
Epoch 2, Client 15, Round 2, Test loss: 5647.268230438232
Epoch 2, Client 15, Round 3, Train Loss: 2.6762382984161377
Epoch 2, Client 15, Round 3, Test accuracy: 0.4381759719380298
Epoch 2, Client 15, Round 3, Test loss: 5752.18159866333
Epoch 2, Client 15, Round 4, Train Loss: 2.644200325012207
Epoch 2, Client 15, Round 4, Test accuracy: 0.4381759719380298
Epoch 2, Client 15, Round 4, Test loss: 5810.978424072266
Epoch 2, Client 15, Round 5, Train Loss: 2.619894027709961
Epoch 2, Client 15, Round 5, Test accuracy: 0.4375913475591932
Epoch 2, Client 15, Round 5, Test loss: 5870.822422027588
Epoch 2, Client 15, Round 6, Train Loss: 2.594940185546875
Epoch 2, Client 15, Round 6, Test accuracy: 0.4355451622332651
Epoch 2, Client 15, Round 6, Test loss: 5922.4003257751465
Epoch 2, Client 15, Round 7, Train Loss: 2.5667855739593506
Epoch 2, Client 15, Round 7, Test accuracy: 0.43466822566501023
Epoch 2, Client 15, Round 7, Test loss: 5961.178951263428
Epoch 2, Client 15, Round 8, Train Loss: 2.5570287704467773
Epoch 2, Client 15, Round 8, Test accuracy: 0.43437591347559196
Epoch 2, Client 15, Round 8, Test loss: 5991.61315536499
Epoch 2, Client 15, Round 9, Train Loss: 2.5370233058929443
Epoch 2, Client 15, Round 9, Test accuracy: 0.43466822566501023
Epoch 2, Client 15, Round 9, Test loss: 6027.270523071289
Epoch 2, Client 15, Round 10, Train Loss: 2.5312249660491943
Epoch 2, Client 15, Round 10, Test accuracy: 0.4349605378544285
Epoch 2, Client 15, Round 10, Test loss: 6058.633960723877
Epoch 2, Client 15, Round 11, Train Loss: 2.5085363388061523
Epoch 2, Client 15, Round 11, Test accuracy: 0.4361297866121017
Epoch 2, Client 15, Round 11, Test loss: 6085.6980056762695
Epoch 2, Client 15, Round 12, Train Loss: 2.510910749435425
Epoch 2, Client 15, Round 12, Test accuracy: 0.43642209880152
Epoch 2, Client 15, Round 12, Test loss: 6119.912132263184
Epoch 2, Client 15, Round 13, Train Loss: 2.491445302963257
Epoch 2, Client 15, Round 13, Test accuracy: 0.4399298450745396
Epoch 2, Client 15, Round 13, Test loss: 6137.002681732178
Epoch 2, Client 15, Round 14, Train Loss: 2.481804609298706
Epoch 2, Client 15, Round 14, Test accuracy: 0.4387605963168664
Epoch 2, Client 15, Round 14, Test loss: 6168.735580444336
Epoch 2, Client 15, Round 15, Train Loss: 2.469805955886841
Epoch 2, Client 15, Round 15, Test accuracy: 0.4431452791581409
Epoch 2, Client 15, Round 15, Test loss: 6181.946220397949
Epoch 2, Client 15, Round 16, Train Loss: 2.4586970806121826
Epoch 2, Client 15, Round 16, Test accuracy: 0.44548377667348726
Epoch 2, Client 15, Round 16, Test loss: 6206.970348358154
Epoch 2, Client 15, Round 17, Train Loss: 2.4476404190063477
Epoch 2, Client 15, Round 17, Test accuracy: 0.4513300204618533
Epoch 2, Client 15, Round 17, Test loss: 6227.1510887146
Epoch 2, Client 15, Round 18, Train Loss: 2.4361026287078857
Epoch 2, Client 15, Round 18, Test accuracy: 0.456007015492546
Epoch 2, Client 15, Round 18, Test loss: 6246.375411987305
Epoch 2, Client 15, Round 19, Train Loss: 2.422325849533081
